genre,subgenre,prompt,tags,mv,pair_group
jazz,bebop,"bebop jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, saxophone, piano",chirp-v4-5+,jazz
jazz,cool jazz,"cool jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, trumpet, swing",chirp-v4-5+,jazz
jazz,fusion,"fusion jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, bass, drums",chirp-v4-5+,jazz
jazz,smooth jazz,"smooth jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, guitar, bossa nova",chirp-v4-5+,jazz
jazz,hard bop,"hard bop jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, fusion, electric",chirp-v4-5+,jazz
jazz,free jazz,"free jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, saxophone, piano",chirp-v4-5+,jazz
jazz,latin jazz,"latin jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, trumpet, swing",chirp-v4-5+,jazz
jazz,swing,"swing jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, bass, drums",chirp-v4-5+,jazz
jazz,modal jazz,"modal jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, guitar, bossa nova",chirp-v4-5+,jazz
jazz,post-bop,"post-bop jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, fusion, electric",chirp-v4-5+,jazz
jazz,bebop,"bebop jazz, melancholic atmosphere, featuring saxophone and piano trio","jazz, saxophone, piano",chirp-v4-5+,jazz
jazz,cool jazz,"cool jazz, melancholic atmosphere, featuring saxophone and piano trio","jazz, trumpet, swing",chirp-v4-5+,jazz
jazz,fusion,"fusion jazz, melancholic atmosphere, featuring saxophone and piano trio","jazz, bass, drums",chirp-v4-5+,jazz
jazz,smooth jazz,"smooth jazz, melancholic atmosphere, featuring saxophone and piano trio","jazz, guitar, bossa nova",chirp-v4-5+,jazz
jazz,hard bop,"hard bop jazz, melancholic atmosphere, featuring saxophone and piano trio","jazz, fusion, electric",chirp-v4-5+,jazz
