genre,subgenre,prompt,tags,mv,pair_group
rock,classic rock,"classic rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, guitar, electric",chirp-v5,rock
rock,alternative rock,"alternative rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, drums, bass",chirp-v5,rock
rock,punk rock,"punk rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, punk, distortion",chirp-v5,rock
rock,indie rock,"indie rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, indie, alternative",chirp-v5,rock
rock,hard rock,"hard rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, classic, anthem",chirp-v5,rock
rock,grunge,"grunge rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, guitar, electric",chirp-v5,rock
rock,progressive rock,"progressive rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, drums, bass",chirp-v5,rock
rock,psychedelic rock,"psychedelic rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, punk, distortion",chirp-v5,rock
rock,garage rock,"garage rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, indie, alternative",chirp-v5,rock
rock,glam rock,"glam rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, classic, anthem",chirp-v5,rock
rock,classic rock,"classic rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, guitar, electric",chirp-v5,rock
rock,alternative rock,"alternative rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, drums, bass",chirp-v5,rock
rock,punk rock,"punk rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, punk, distortion",chirp-v5,rock
rock,indie rock,"indie rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, indie, alternative",chirp-v5,rock
rock,hard rock,"hard rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, classic, anthem",chirp-v5,rock
rock,grunge,"grunge rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, guitar, electric",chirp-v5,rock
rock,progressive rock,"progressive rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, drums, bass",chirp-v5,rock
rock,psychedelic rock,"psychedelic rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, punk, distortion",chirp-v5,rock
rock,garage rock,"garage rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, indie, alternative",chirp-v5,rock
rock,glam rock,"glam rock, rebellious atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, classic, anthem",chirp-v5,rock
